# scripts/data/ruled-meadows.tsv -- Meadows leverage-layer classification of RULED 1-244 on pardosa-jn1.
# Produced by mission package pardosa-meadows-1756900000 (epic pardosa-9ar, sub-missions 01-07).
# Annotation only: no ruling, close reason, or comment was edited. Each row is classified from the
# owning bead ruling text, one layer per ruling, first-YES-wins from S downward.
#
# House layer->tier mapping (authoritative; tier is DERIVED, never chosen independently):
#   1  transcend paradigms                                     -> S
#   2  mindset/paradigm the system arises from                 -> S
#   3  goals of the system                                     -> S
#   4  power to add/change/evolve/self-organize structure      -> A
#   5  rules of the system (incentives, punishments, constraints) -> B
#   6  structure of information flows (who has access)         -> B
#   7  gain around driving positive feedback loops             -> C
#   8  strength of negative feedback loops                     -> C
#   9  lengths of delays relative to rate of change            -> D
#   10 structure of material stocks and flows                  -> D
#   11 sizes of buffers/stabilizing stocks relative to flows    -> D
#   12 constants, parameters, numbers                          -> D
#
# Prose/numeric tension: adr-fmt prose calls Design "C" while the numeric table puts information
# flows at layer 6 -> B. RESOLVED IN FAVOUR OF THE NUMERIC TABLE for this entire pass.
#
# Columns (tab-separated): ruled_n	layer	tier	owning_ticket	justification
1	2	S	pardosa-jn1.30	Sets the stance pardosa speaks from -- mechanism stated neutrally, no compliance claim -- the frame every later refusal follows from
2	3	S	pardosa-jn1.30	Fixes the scope boundary of the erasure guarantee: the pardosa layer only, the old artefact out of scope
3	6	B	pardosa-jn1.30	Decides what the public lifecycle types expose across the serialization boundary: vocabulary, not DTOs
4	5	B	pardosa-jn1.30	Lays down the standing rule that the spec states the rule not the technique, binding every later primitive choice
5	2	S	pardosa-jn1.30	Spans scope and stance; higher-leverage reading taken -- the citable refusal posture that guarantees below the storage layer are never made
6	5	B	pardosa-jn1.30	States SWMR as the universal invariant binding every adapter and every later exclusion decision
7	5	B	pardosa-jn1.30	States the fresh-identity invariant at every generation boundary, from which later rulings are derived
8	9	D	pardosa-jn1.30	Defines the length of the coordinated freeze window relative to the source's append rate
9	4	A	pardosa-jn1.30	Puts the migration manager inside the frozen 1.0 surface, fixing what may no longer change without a major
10	5	B	pardosa-jn1.30	Makes the writer fence unconditional -- a constraint with no configuration escape, binding all adopters
11	6	B	pardosa-jn1.30	Decides where the epoch is recorded and therefore who can read it, rather than an external coordinator or the operator
12	5	B	pardosa-jn1.30	Normative behavioural rule binding the caller: the CAS loser must stop rather than retry
13	10	D	pardosa-jn1.30	Decides artefact structure -- the metastream is an existing store type, not a new parallel artefact
14	5	B	pardosa-jn1.30	States the hard two-generation invariant, explicitly rejecting a configurable limit
15	5	B	pardosa-jn1.30	A naming rule: an identical stem pairs .pgno with .meta, giving a mechanically checkable predicate
16	5	B	pardosa-jn1.30	States the terminating invariant of the ownership model: a .meta has no .meta
17	2	S	pardosa-jn1.30	Spans field list and verdict discipline; higher taken -- the never-fold-Indeterminate stance is the frame RULED 29/44/51/57 all derive from
18	10	D	pardosa-jn1.30	Selects the concrete creation mechanism and its division of labour in the artefact creation flow
19	5	B	pardosa-jn1.30	Refuses a shape unconditionally (orphan .pgno) and fixes creation order as normative, rejecting auto-repair in all forms
20	3	S	pardosa-jn1.30	Supplies the test that settles what is in scope, keeping snapshotting a permanent non-goal
21	5	B	pardosa-jn1.30	Assigns a standing obligation to every adapter's write path, where the invariant has to bind
22	6	B	pardosa-jn1.30	Adds a capability to the public surface, deciding what every adapter's API must expose
23	6	B	pardosa-jn1.30	Decides which artefact carries which record and therefore what a generation-N reader can discover
24	6	B	pardosa-jn1.30	Decides what a read-only open reports to its caller: unowned, generation unknown, rather than a refusal
25	10	D	pardosa-jn1.30	Selects the concrete ongoing fence mechanism sitting on the .pgno write path
26	3	S	pardosa-jn1.30	Draws the scope boundary between this map and the transfer map by kind of question
27	5	B	pardosa-jn1.30	Refuses a shape: no writer opens where the fence is unavailable, so no fence is off by default
28	8	C	pardosa-jn1.30	Sets the granularity, and therefore the strength, of the negative feedback loop that rejects stale writes
29	5	B	pardosa-jn1.30	Refusal rule plus the two-causes-two-names discipline binding the vocabulary that follows
30	6	B	pardosa-jn1.30	Keeps unpersistable states on the public surface and obliges the docs to state the in-flight-only fact
31	12	D	pardosa-jn1.41	Fixes the surviving policy vocabulary by retiring one enum outright
32	4	A	pardosa-jn1.41	Freezes both enums as exhaustive, so any later variant costs a major -- the evolvability commitment is the substance
33	6	B	pardosa-jn1.41	Withholds FiberAction from the public surface
34	6	B	pardosa-jn1.41	Defines what the output artefact discloses: a dense chain from which a purge is undetectable
35	6	B	pardosa-jn1.41	Decides who chooses and where the choice is recorded, so audit and no-residue hold at once
36	3	S	pardosa-jn1.41	Scope boundary for 1.0, keeping deferral visibly distinct from permanent non-goal
37	5	B	pardosa-jn1.44	Normative clause binding pardosa's own behaviour: it never initiates a migration
38	6	B	pardosa-jn1.44	Narrows the closure's type contract so the caller cannot touch the envelope pardosa owns
39	5	B	pardosa-jn1.44	Extends a standing constructor rule to a further class, one rule not two
40	5	B	pardosa-jn1.44	Refuses a shape by name: a generation-N cursor against N+1 is rejected, never reinterpreted
41	4	A	pardosa-jn1.42	Splits what is frozen from what stays free to change: format locked, store abstraction internal and unfrozen
42	4	A	pardosa-jn1.42	Freezes the record-kind set and rejects unknown kinds, fixing what may be added without a major
43	5	B	pardosa-jn1.42	Rules the behaviour for a named state: an empty .meta is unowned and claimable by the ordinary path
44	5	B	pardosa-jn1.42	States the governing distinction -- missing safety refuses, missing evidence yields Indeterminate -- settling every future platform gap
45	5	B	pardosa-jn1.42	Confines self-claim to the recursion base so there is exactly one way to own a store
46	3	S	pardosa-jn1.42	Executes the kind test to put wire shape out of scope for this map
47	10	D	pardosa-jn1.42	Fixes the artefact topology: one metastream per data-store artefact, chained by pointer
48	10	D	pardosa-jn1.42	Fixes the on-disk structure: one container format, its placement, and stem matching
49	3	S	pardosa-jn1.42	Scope boundary: no pair tooling at 1.0, the requirement stated rather than promised
50	6	B	pardosa-jn1.43	Decides what pardosa reports to a reader and what it refuses to do with it -- reporting, never redirecting
51	5	B	pardosa-jn1.43	Applies the never-fold discipline as a rule: two directions, two names, and the read proceeds
52	6	B	pardosa-jn1.43	Fixes what the pointer's presence discloses -- a complete target, unconditionally -- timing being the mechanism
53	5	B	pardosa-jn1.43	States the 1.0 posture as a rule: no takeover without proof, guessing being forbidden
54	6	B	pardosa-jn1.29	Shapes the surface a caller meets: three types for three questions, success never dressed as failure
55	4	A	pardosa-jn1.29	Keeps the top-level enum non_exhaustive, reserving headroom to add failure modes without a major
56	6	B	pardosa-jn1.29	Decides what the error withholds: adapter detail yes, adapter type never, by any route
57	5	B	pardosa-jn1.29	Standing rule that an indeterminate outcome is never folded, because the remedy differs
58	12	D	pardosa-jn1.29	Fixes concrete variant membership and each name's reserved meaning on the create path
59	12	D	pardosa-jn1.29	Adds a distinct variant to the vocabulary for the fenced-mid-write condition
60	12	D	pardosa-jn1.29	Fixes one shared name for the orphan refusal condition across both adapters
61	6	B	pardosa-jn1.29	Chooses documentation structure over an accessor, deciding how remedy information reaches the caller
62	6	B	pardosa-jn1.29	One type for one question, so a caller need not know what to ask before knowing what they hold
63	6	B	pardosa-jn1.29	Withholds any diagnostic channel beyond the payload, bounding what the frozen surface discloses
64	5	B	pardosa-jn1.36	Standing rule fixing what conformance may assert -- the promise, never the mechanism -- binding every future obligation
65	5	B	pardosa-jn1.36	Makes passing the suite the binding condition on the claim "supports backend X"; spans rule and gate, higher taken
66	5	B	pardosa-jn1.36	Draws the refusal rule by what is promised: a configuration breaking a promised invariant is refused at open
67	5	B	pardosa-jn1.36	Removes the configuration escape from a corruption guard, making it a constraint no build can switch off
68	4	A	pardosa-jn1.36	Fixes who may extend the system: the trait stays sealed, so an outsider verifies but cannot ship an adapter
69	5	B	pardosa-jn1.40	Lays down the criterion that separates API from data -- type names and paths in, string contents out
70	4	A	pardosa-jn1.40	Governs the non_exhaustive lever itself: exemption is derived from the spec's closed-by-construction designation
71	10	D	pardosa-jn1.31	Fixes what physically travels in each published tarball rather than what the manifest claims
72	9	D	pardosa-jn1.34	Sets the delay between decision and name acquisition, carrying the squatting risk to publish
73	10	D	pardosa-jn1.33	Fixes the artefact topology of the repo: one workspace, crates under crates/, spec and ADR tree beside them
74	5	B	pardosa-jn1.9	Standing dependency rule: caret plus lockstep, exact pins forbidden at publish so version unification holds
75	5	B	pardosa-jn1.9	States the floor as a rule -- oldest stable compiling the frozen surface -- not as a number that would drift
76	4	A	pardosa-jn1.9	Splits what binds from what freezes, and when: the single statement governing every later regime assignment
77	6	B	pardosa-jn1.32	Decides what the spec discloses about platforms: a positive list, no exclusion list, unverified recorded as unverified
78	4	A	pardosa-abi	Buys the irreversible half now and omits the reversible half, fixing what may still be added at a minor
79	3	S	pardosa-abi	Scope boundary: correlation is deferred to an external standard and pardosa carries nothing natively
80	5	B	pardosa-jn1.35	Constrains when a yank is permitted -- correctness or safety only -- and obliges a published policy without an SLA
81	6	B	pardosa-jn1.35	Discloses the maintainer relationship a stranger cannot otherwise see, and withholds any response-time promise
82	5	B	pardosa-jn1.47	Standing prohibition on contrastive definition: positive definition only, for any X, binding all future text
83	5	B	pardosa-jn1.47	Fixes where normative force lives: the page orients and never adds, so one artefact binds rather than two
84	4	A	pardosa-jn1.47	Keeps the enumeration open, so obligations may be added in any release without a compatibility cost
85	4	A	pardosa-jn1.47	Assigns the bar to the invariant regime, deciding when it binds rather than what it says
86	8	C	pardosa-jn1.47	Sets enforcement strength: presence gated, quality damped by a record rather than a gate or checklist
87	10	D	pardosa-jn1.48	Fixes which artefact exists at 0.5.1 to hold the binding prose, rather than deferring it to a later consolidation
88	12	D	pardosa-jn1.48	Fixes one concrete path value, named for the line it specifies, so citations stay stable across majors
89	4	A	pardosa-jn1.48	Puts a regime marker on every clause, making stability promise a per-clause property distinct from force
90	4	A	pardosa-jn1.48	Defines what the regime marker answers -- does breaking this break a consumer -- separating force from mutability
91	6	B	pardosa-jn1.51	Decides how the document explains its own name where it is read, since the non-normative page never reaches that reader
92	6	B	pardosa-jn1.51	Routes the reader to the clause instead of restating it, keeping the two-regime rule stated exactly once
93	6	B	pardosa-jn1.52	Decides what the frozen surface exposes: the word is taught vocabulary, never a public type
94	6	B	pardosa-jn1.52	Fixes how many entities a stranger must learn at this level, making event line an aspect rather than a noun
95	4	A	pardosa-jn1.52	Splits the layout by axis into what binds from 0.5.1 and what freezes at 1.0
96	2	S	pardosa-jn1.52	Chooses the frame the concept is understood from -- ordering first, durability and containment as consequences
97	3	S	pardosa-jn1.53	Permanent scope boundary: partitioning is a topology choice above pardosa, never inside an artefact
98	4	A	pardosa-jn1.53	Converts an implementation fact into a promise with a regime marker, so a consumer may rely on it
99	6	B	pardosa-jn1.53	Withholds any identity a stranger could hold; the locator names it extrinsically and the frontier is the comparable value
100	4	A	pardosa-jn1.53	Refuses a second irreversible envelope slot, leaving the one already bought as the standing escape hatch
101	5	B	pardosa-jn1.53	Applies the language rule as a refusal: a backend noun is barred from consumer vocabulary by any path
102	4	A	pardosa-jn1.53	Reserves structure now so the licensed split is reachable later without breaking old readers
103	5	B	pardosa-jn1.53	States the containment invariant a fiber never violates, which is what keeps linearizability true under partitioning
104	6	B	pardosa-jn1.53	Splits visibility in two: an operator can name a dragline through the read-only surface, a consumer cannot
105	4	A	pardosa-jn1.54	Refuses a promise precisely to keep the licensed multi-dragline split reachable without breaking a contract
106	5	B	pardosa-jn1.54	Lays down the binding consumer prohibition -- what the clause enforces is the absence of a promise
107	5	B	pardosa-jn1.54	Defines reorder pairwise, which is the standing rule every migration policy is then measured against
108	5	B	pardosa-jn1.54	Substitutes which rule actually binds pardosa on the migration path, replacing total order in the invariant list
109	6	B	pardosa-jn1.54	Decides what the clause states normatively and what it withholds, and points rather than restates so one fact lives in one place
110	3	S	pardosa-jn1.54	Fixes what pardosa promises at all: replay determinism is contracted because rebuilding a projection twice is the point of the model
111	4	A	pardosa-jn1.54	Sets when each clause starts binding, and rules that a refusal's marker attaches to its force rather than its deletion
112	6	B	pardosa-jn1.54	Allocates the rationale between spec and ADR -- which document carries which kind of statement
113	5	B	pardosa-jn1.55	Makes link integrity the promised invariant, bounded by three explicit non-claims that later rulings derive from
114	5	B	pardosa-jn1.55	Spans rule and information flow; higher-leverage taken -- the tier-1 invariant binding from 0.5.1, with the anchor gap named as a third value
115	6	B	pardosa-jn1.55	Decides what the 1.0 walk surface exposes: one method with strict semantics, the permissive variant removed
116	5	B	pardosa-jn1.55	Makes the invariant-breaking configuration inexpressible rather than merely defaulted off
117	5	B	pardosa-jn1.55	Binds every ordinary path to refuse, and confines entry to an explicitly-named election at the call site
118	5	B	pardosa-jn1.55	States the per-artefact per-generation anchor obligation an operator must satisfy and the spec cannot check
119	6	B	pardosa-jn1.55	Structures how the claim reaches a stranger: two scoped claims with qualifiers, never one quotable aggregate
120	5	B	pardosa-jn1.56	Fixes what the schema covers -- T taken whole -- which is the definitional rule every descriptor ruling then builds on
121	2	S	pardosa-jn1.56	Makes the enum-of-variants shape pardosa's own taught concept, changing the language a consumer models in
122	5	B	pardosa-jn1.56	Refuses the affordance the new vocabulary makes tempting, blocking the inference where it now arises
123	5	B	pardosa-jn1.56	Binds pardosa from 0.5.1 against ever admitting a heterogeneous artefact, for a reader who cannot see it in the bytes
124	6	B	pardosa-jn1.56	Records which document owns which half, so the seam most likely to be described twice is named once
125	5	B	pardosa-jn1.57	Removes the option to ship a self-undescribing artefact, making the descriptor unconditional
126	6	B	pardosa-jn1.57	Fixes what information the descriptor carries, and therefore what a non-Rust reader can decode
127	6	B	pardosa-jn1.57	Chooses the vocabulary the description is expressed in: a closed constructor set, not a Rust parser
128	8	C	pardosa-jn1.57	Defines the two-layer verification that damps descriptor drift -- mechanical completeness plus the clean-room rebuild
129	6	B	pardosa-jn1.57	Decides where the descriptor lives and therefore where a reader must look, once per artefact on either adapter
130	6	B	pardosa-jn1.57	Fixes which document each hash factor versions, so the composition is not misread as crossing the boundary
131	5	B	pardosa-jn1.58	Makes identity a pure function of the descriptor, closing the drift between two vocabularies
